"Date","Period","Temp"
36528,28,24.3
36528,29,24.8
36528,30,24.35
36528,31,23.9
36528,32,23.35
36528,33,22.8
36528,34,22.05
36528,35,21.3
36528,36,20.85
36528,37,20.4
36528,38,19.6
36528,39,18.8
36528,40,17.95
36528,41,17.1
36528,42,16.55
36528,43,16
36528,44,15.95
36528,45,15.9
36528,46,16.1
36528,47,16.3
36528,48,15.85
36529,1,15.4
36529,2,14.9
36529,3,14.4
36529,4,14.05
36529,5,13.7
36529,6,13.65
36529,7,13.6
36529,8,13.2
36529,9,12.8
36529,10,12.65
36529,11,12.5
36529,12,12.7
36529,13,12.9
36529,14,13.9
36529,15,14.9
36529,16,15.55
36529,17,16.2
36529,18,16.95
36529,19,17.7
36529,20,17.8
36529,21,17.9
36529,22,18.15
36529,23,18.4
36529,24,19.2
36529,25,20
36529,26,19.8
36529,27,19.6
36529,28,19.55
36529,29,19.5
36529,30,19.9
36529,31,20.3
36529,32,19.65
36529,33,19
36529,34,18.7
36529,35,18.4
36529,36,17.8
36529,37,17.2
36529,38,16.2
36529,39,15.2
36529,40,14.9
36529,41,14.6
36529,42,14.45
36529,43,14.3
36529,44,13.85
36529,45,13.4
36529,46,13.35
36529,47,13.3
36529,48,13.5
36530,1,13.7
36530,2,13.45
36530,3,13.2
36530,4,12.9
36530,5,12.6
36530,6,12.55
36530,7,12.5
36530,8,12.75
36530,9,13
36530,10,13
36530,11,13
36530,12,13.2
36530,13,13.4
36530,14,13.8
36530,15,14.2
36530,16,14.7
36530,17,15.2
36530,18,15.7
36530,19,16.2
36530,20,16.55
36530,21,16.9
36530,22,17.7
36530,23,18.5
36530,24,19.2
36530,25,19.9
36530,26,20.3
36530,27,20.7
36530,28,20.8
36530,29,20.9
36530,30,21.05
36530,31,21.2
36530,32,20.75
36530,33,20.3
36530,34,19.95
36530,35,19.6
36530,36,19.2
36530,37,18.8
36530,38,18
36530,39,17.2
36530,40,16.3
36530,41,15.4
36530,42,15.15
36530,43,14.9
36530,44,14.65
36530,45,14.4
36530,46,14.3
36530,47,14.2
36530,48,14.3
36531,1,14.4
36531,2,14.45
36531,3,14.5
36531,4,14.5
36531,5,14.5
36531,6,14.25
36531,7,14
36531,8,13.8
36531,9,13.6
36531,10,13.45
36531,11,13.3
36531,12,13.1
36531,13,12.9
36531,14,14.05
36531,15,15.2
36531,16,15.95
36531,17,16.7
36531,18,16.9
36531,19,17.1
36531,20,17.45
36531,21,17.8
36531,22,18.95
36531,23,20.1
36531,24,20.8
36531,25,21.5
36531,26,22.25
36531,27,23
36531,28,23
36531,29,23
36531,30,23.2
36531,31,23.4
36531,32,23.25
36531,33,23.1
36531,34,22.35
36531,35,21.6
36531,36,20.5
36531,37,19.4
36531,38,18.45
36531,39,17.5
36531,40,16.55
36531,41,15.6
36531,42,15.3
36531,43,15
36531,44,14.8
36531,45,14.6
36531,46,14.6
36531,47,14.6
36531,48,14.5
36532,1,14.4
36532,2,14.4
36532,3,14.4
36532,4,14.2
36532,5,14
36532,6,13.9
36532,7,13.8
36532,8,13.55
36532,9,13.3
36532,10,13.1
36532,11,12.9
36532,12,13.05
36532,13,13.2
36532,14,14.3
36532,15,15.4
36532,16,15.9
36532,17,16.4
36532,18,17.2
36532,19,18
36532,20,19
36532,21,20
36532,22,20.6
36532,23,21.2
36532,24,21.95
36532,25,22.7
36532,26,23.35
36532,27,24
36532,28,24.6
36532,29,25.2
36532,30,25.25
36532,31,25.3
36532,32,25
36532,33,24.7
36532,34,25.05
36532,35,25.4
36532,36,24.3
36532,37,23.2
36532,38,22.1
36532,39,21
36532,40,19.75
36532,41,18.5
36532,42,18
36532,43,17.5
36532,44,17.25
36532,45,17
36532,46,16.7
36532,47,16.4
36532,48,16.75
36533,1,17.1
36533,2,16.7
36533,3,16.3
36533,4,15.9
36533,5,15.5
36533,6,14.95
36533,7,14.4
36533,8,14
36533,9,13.6
36533,10,13.35
36533,11,13.1
36533,12,13.55
36533,13,14
36533,14,16.3
36533,15,18.6
36533,16,20.95
36533,17,23.3
36533,18,24.2
36533,19,25.1
36533,20,26.2
36533,21,27.3
36533,22,27.35
36533,23,27.4
36533,24,27.85
36533,25,28.3
36533,26,28.9
36533,27,29.5
36533,28,28.9
36533,29,28.3
36533,30,28.8
36533,31,29.3
36533,32,30.15
36533,33,31
36533,34,30.15
36533,35,29.3
36533,36,28.85
36533,37,28.4
36533,38,27.65
36533,39,26.9
36533,40,25.55
36533,41,24.2
36533,42,24.25
36533,43,24.3
36533,44,23.85
36533,45,23.4
36533,46,23.2
36533,47,23
36533,48,22.7
36534,1,22.4
36534,2,22.2
36534,3,22
36534,4,21.7
36534,5,21.4
36534,6,21.35
36534,7,21.3
36534,8,21.25
36534,9,21.2
36534,10,21.1
36534,11,21
36534,12,20.9
36534,13,20.8
36534,14,21.2
36534,15,21.6
36534,16,22.35
36534,17,23.1
36534,18,23.9
36534,19,24.7
36534,20,25.5
36534,21,26.3
36534,22,26.9
36534,23,27.5
36534,24,28.4
36534,25,29.3
36534,26,29.4
36534,27,29.5
36534,28,29.9
36534,29,30.3
36534,30,30.45
36534,31,30.6
36534,32,30.3
36534,33,30
36534,34,29.8
36534,35,29.6
36534,36,29.15
36534,37,28.7
36534,38,27.95
36534,39,27.2
36534,40,26.55
36534,41,25.9
36534,42,25
36534,43,24.1
36534,44,23.8
36534,45,23.5
36534,46,23.15
36534,47,22.8
36534,48,22.8
36535,1,22.8
36535,2,22.6
36535,3,22.4
36535,4,22.8
36535,5,23.2
36535,6,22.6
36535,7,22
36535,8,21.3
36535,9,20.6
36535,10,19.95
36535,11,19.3
36535,12,19.3
36535,13,19.3
36535,14,20.7
36535,15,22.1
36535,16,23.65
36535,17,25.2
36535,18,26.3
36535,19,27.4
36535,20,28.5
36535,21,29.6
36535,22,30.45
36535,23,31.3
36535,24,31.65
36535,25,32
36535,26,32.45
36535,27,32.9
36535,28,33
36535,29,33.1
36535,30,33.4
36535,31,33.7
36535,32,33.85
36535,33,34
36535,34,33.1
36535,35,32.2
36535,36,30.75
36535,37,29.3
36535,38,28
36535,39,26.7
36535,40,25.6
36535,41,24.5
36535,42,24.05
36535,43,23.6
36535,44,24.1
36535,45,24.6
36535,46,25.2
36535,47,25.8
36535,48,26
36536,1,26.2
36536,2,25.8
36536,3,25.4
36536,4,24.95
36536,5,24.5
36536,6,24.95
36536,7,25.4
36536,8,25.95
36536,9,26.5
36536,10,26.3
36536,11,26.1
36536,12,26.05
36536,13,26
36536,14,27
36536,15,28
36536,16,29.1
36536,17,30.2
36536,18,31.3
36536,19,32.4
36536,20,33.35
36536,21,34.3
36536,22,35
36536,23,35.7
36536,24,36
36536,25,36.3
36536,26,36.3
36536,27,36.3
36536,28,37
36536,29,37.7
36536,30,37.85
36536,31,38
36536,32,37.7
36536,33,37.4
36536,34,37.45
36536,35,37.5
36536,36,37
36536,37,36.5
36536,38,35.75
36536,39,35
36536,40,33.75
36536,41,32.5
36536,42,32
36536,43,31.5
36536,44,31.6
36536,45,31.7
36536,46,31.7
36536,47,31.7
36536,48,31.2
36537,1,30.7
36537,2,30.35
36537,3,30
36537,4,29.85
36537,5,29.7
36537,6,28.7
36537,7,27.7
36537,8,27.65
36537,9,27.6
36537,10,27.4
36537,11,27.2
36537,12,27
36537,13,26.8
36537,14,27.9
36537,15,29
36537,16,30.3
36537,17,31.6
36537,18,32.45
36537,19,33.3
36537,20,33.9
36537,21,34.5
36537,22,34.85
36537,23,35.2
36537,24,35.3
36537,25,35.4
36537,26,35.7
36537,27,36
36537,28,36.25
36537,29,36.5
36537,30,36.35
36537,31,36.2
36537,32,36.3
36537,33,36.4
36537,34,36.25
36537,35,36.1
36537,36,35.85
36537,37,35.6
36537,38,34.9
36537,39,34.2
36537,40,33.1
36537,41,32
36537,42,31.7
36537,43,31.4
36537,44,31.15
36537,45,30.9
36537,46,30.65
36537,47,30.4
36537,48,30.3
36538,1,30.2
36538,2,29.9
36538,3,29.6
36538,4,29.15
36538,5,28.7
36538,6,28.15
36538,7,27.6
36538,8,27.3
36538,9,27
36538,10,26.4
36538,11,25.8
36538,12,25.7
36538,13,25.6
36538,14,26.85
36538,15,28.1
36538,16,29.1
36538,17,30.1
36538,18,30.85
36538,19,31.6
36538,20,32.3
36538,21,33
36538,22,33.65
36538,23,34.3
36538,24,34.9
36538,25,35.5
36538,26,35.45
36538,27,35.4
36538,28,35.25
36538,29,35.1
36538,30,35.65
36538,31,36.2
36538,32,36.05
36538,33,35.9
36538,34,35.6
36538,35,35.3
36538,36,33.35
36538,37,31.4
36538,38,30.75
36538,39,30.1
36538,40,29.85
36538,41,29.6
36538,42,28.95
36538,43,28.3
36538,44,27.95
36538,45,27.6
36538,46,27.6
36538,47,27.6
36538,48,27.15
36539,1,26.7
36539,2,26.05
36539,3,25.4
36539,4,24.85
36539,5,24.3
36539,6,23.9
36539,7,23.5
36539,8,23.3
36539,9,23.1
36539,10,23.45
36539,11,23.8
36539,12,24.8
36539,13,25.8
36539,14,26.85
36539,15,27.9
36539,16,29.2
36539,17,30.5
36539,18,31.3
36539,19,32.1
36539,20,32.9
36539,21,33.7
36539,22,33.75
36539,23,33.8
36539,24,33.95
36539,25,34.1
36539,26,34.6
36539,27,35.1
36539,28,34.7
36539,29,34.3
36539,30,34.15
36539,31,34
36539,32,33.95
36539,33,33.9
36539,34,31.9
36539,35,29.9
36539,36,28.7
36539,37,27.5
36539,38,26.4
36539,39,25.3
36539,40,24.8
36539,41,24.3
36539,42,24.1
36539,43,23.9
36539,44,23.8
36539,45,23.7
36539,46,23.6
36539,47,23.5
36539,48,23.65
36540,1,23.8
36540,2,24
36540,3,24.2
36540,4,24.3
36540,5,24.4
36540,6,24.9
36540,7,25.4
36540,8,25.45
36540,9,25.5
36540,10,25.5
36540,11,25.5
36540,12,25.7
36540,13,25.9
36540,14,26.85
36540,15,27.8
36540,16,27.7
36540,17,27.6
36540,18,28.9
36540,19,30.2
36540,20,31.2
36540,21,32.2
36540,22,32.75
36540,23,33.3
36540,24,33.4
36540,25,33.5
36540,26,33.8
36540,27,34.1
36540,28,33.9
36540,29,33.7
36540,30,33.45
36540,31,33.2
36540,32,32.55
36540,33,31.9
36540,34,31
36540,35,30.1
36540,36,29.7
36540,37,29.3
36540,38,27.9
36540,39,26.5
36540,40,26.4
36540,41,26.3
36540,42,26.3
36540,43,26.3
36540,44,26.6
36540,45,26.9
36540,46,27.25
36540,47,27.6
36540,48,27.6
36541,1,27.6
36541,2,27.25
36541,3,26.9
36541,4,27.4
36541,5,27.9
36541,6,27.1
36541,7,26.3
36541,8,27
36541,9,27.7
36541,10,26.9
36541,11,26.1
36541,12,24.9
36541,13,23.7
36541,14,24.25
36541,15,24.8
36541,16,26.1
36541,17,27.4
36541,18,28.6
36541,19,29.8
36541,20,30.7
36541,21,31.6
36541,22,33.25
36541,23,34.9
36541,24,33.25
36541,25,31.6
36541,26,33.55
36541,27,35.5
36541,28,36.15
36541,29,36.8
36541,30,37.3
36541,31,37.8
36541,32,37.15
36541,33,36.5
36541,34,36.1
36541,35,35.7
36541,36,34.8
36541,37,33.9
36541,38,33.65
36541,39,33.4
36541,40,32.8
36541,41,32.2
36541,42,31.9
36541,43,31.6
36541,44,31.15
36541,45,30.7
36541,46,31.05
36541,47,31.4
36541,48,31.65
36542,1,31.9
36542,2,31.6
36542,3,31.3
36542,4,30.95
36542,5,30.6
36542,6,30.5
36542,7,30.4
36542,8,30.25
36542,9,30.1
36542,10,29
36542,11,27.9
36542,12,28.4
36542,13,28.9
36542,14,29.55
36542,15,30.2
36542,16,30.3
36542,17,30.4
36542,18,31.1
36542,19,31.8
36542,20,32.65
36542,21,33.5
36542,22,34.75
36542,23,36
36542,24,35.9
36542,25,35.8
36542,26,36.4
36542,27,37
36542,28,37.9
36542,29,38.8
36542,30,39.05
36542,31,39.3
36542,32,39.25
36542,33,39.2
36542,34,38.9
36542,35,38.6
36542,36,38.15
36542,37,37.7
36542,38,36.9
36542,39,36.1
36542,40,35.6
36542,41,35.1
36542,42,35.05
36542,43,35
36542,44,35
36542,45,35
36542,46,34.8
36542,47,34.6
36542,48,34.45
36543,1,34.3
36543,2,33.85
36543,3,33.4
36543,4,32.9
36543,5,32.4
36543,6,32.8
36543,7,33.2
36543,8,32.35
36543,9,31.5
36543,10,31.1
36543,11,30.7
36543,12,30.1
36543,13,29.5
36543,14,29.75
36543,15,30
36543,16,31.7
36543,17,33.4
36543,18,33
36543,19,32.6
36543,20,30.95
36543,21,29.3
36543,22,30.25
36543,23,31.2
36543,24,30.9
36543,25,30.6
36543,26,30.2
36543,27,29.8
36543,28,29.65
36543,29,29.5
36543,30,29.5
36543,31,29.5
36543,32,28.95
36543,33,28.4
36543,34,28.1
36543,35,27.8
36543,36,26.6
36543,37,25.4
36543,38,24.45
36543,39,23.5
36543,40,22.3
36543,41,21.1
36543,42,20.9
36543,43,20.7
36543,44,20.65
36543,45,20.6
36543,46,20.45
36543,47,20.3
36543,48,20.25
36544,1,20.2
36544,2,20
36544,3,19.8
36544,4,19.7
36544,5,19.6
36544,6,19.6
36544,7,19.6
36544,8,19.5
36544,9,19.4
36544,10,19.35
36544,11,19.3
36544,12,19.25
36544,13,19.2
36544,14,19.4
36544,15,19.6
36544,16,19.85
36544,17,20.1
36544,18,20.55
36544,19,21
36544,20,20.95
36544,21,20.9
36544,22,21.05
36544,23,21.2
36544,24,21.55
36544,25,21.9
36544,26,22.45
36544,27,23
36544,28,23.5
36544,29,24
36544,30,24.25
36544,31,24.5
36544,32,24.4
36544,33,24.3
36544,34,23.7
36544,35,23.1
36544,36,22
36544,37,20.9
36544,38,20.65
36544,39,20.4
36544,40,20.2
36544,41,20
36544,42,19.85
36544,43,19.7
36544,44,19.7
36544,45,19.7
36544,46,19.5
36544,47,19.3
36544,48,19.25
36545,1,19.2
36545,2,19
36545,3,18.8
36545,4,18.75
36545,5,18.7
36545,6,18.75
36545,7,18.8
36545,8,18.9
36545,9,19
36545,10,19.15
36545,11,19.3
36545,12,18.65
36545,13,18
36545,14,18.4
36545,15,18.8
36545,16,19
36545,17,19.2
36545,18,19.45
36545,19,19.7
36545,20,20.05
36545,21,20.4
36545,22,20.7
36545,23,21
36545,24,21.05
36545,25,21.1
36545,26,21.25
36545,27,21.4
36545,28,21.85
36545,29,22.3
36545,30,22.25
36545,31,22.2
36545,32,22.25
36545,33,22.3
36545,34,21.85
36545,35,21.4
36545,36,21
36545,37,20.6
36545,38,20.05
36545,39,19.5
36545,40,19.2
36545,41,18.9
36545,42,18.75
36545,43,18.6
36545,44,18.15
36545,45,17.7
36545,46,17.75
36545,47,17.8
36545,48,17.75
36546,1,17.7
36546,2,17.55
36546,3,17.4
36546,4,17.3
36546,5,17.2
36546,6,16.95
36546,7,16.7
36546,8,15.95
36546,9,15.2
36546,10,15.3
36546,11,15.4
36546,12,15.45
36546,13,15.5
36546,14,15.3
36546,15,15.1
36546,16,15.65
36546,17,16.2
36546,18,16.45
36546,19,16.7
36546,20,16.85
36546,21,17
36546,22,18.25
36546,23,19.5
36546,24,19.75
36546,25,20
36546,26,20.45
36546,27,20.9
36546,28,21.2
36546,29,21.5
36546,30,21.35
36546,31,21.2
36546,32,21
36546,33,20.8
36546,34,20.65
36546,35,20.5
36546,36,19.7
36546,37,18.9
36546,38,18.25
36546,39,17.6
36546,40,17.2
36546,41,16.8
36546,42,16.45
36546,43,16.1
36546,44,16.05
36546,45,16
36546,46,15.4
36546,47,14.8
36546,48,15.05
36547,1,15.3
36547,2,15.3
36547,3,15.3
36547,4,15.4
36547,5,15.5
36547,6,15.25
36547,7,15
36547,8,14.35
36547,9,13.7
36547,10,13.85
36547,11,14
36547,12,13.8
36547,13,13.6
36547,14,14.8
36547,15,16
36547,16,15.9
36547,17,15.8
36547,18,16.35
36547,19,16.9
36547,20,17.45
36547,21,18
36547,22,18.5
36547,23,19
36547,24,19.4
36547,25,19.8
36547,26,19.6
36547,27,19.4
36547,28,20.05
36547,29,20.7
36547,30,21
36547,31,21.3
36547,32,20.4
36547,33,19.5
36547,34,19.25
36547,35,19
36547,36,18.4
36547,37,17.8
36547,38,17.1
36547,39,16.4
36547,40,15.85
36547,41,15.3
36547,42,14.9
36547,43,14.5
36547,44,14.3
36547,45,14.1
36547,46,13.9
36547,47,13.7
36547,48,13.6
36548,1,13.5
36548,2,13.55
36548,3,13.6
36548,4,13.15
36548,5,12.7
36548,6,12.6
36548,7,12.5
36548,8,12.8
36548,9,13.1
36548,10,13.15
36548,11,13.2
36548,12,13.15
36548,13,13.1
36548,14,13.55
36548,15,14
36548,16,14.55
36548,17,15.1
36548,18,16
36548,19,16.9
36548,20,17.5
36548,21,18.1
36548,22,18.65
36548,23,19.2
36548,24,19.75
36548,25,20.3
36548,26,20.85
36548,27,21.4
36548,28,21.65
36548,29,21.9
36548,30,21.8
36548,31,21.7
36548,32,21.5
36548,33,21.3
36548,34,20.95
36548,35,20.6
36548,36,20.1
36548,37,19.6
36548,38,18.8
36548,39,18
36548,40,17.55
36548,41,17.1
36548,42,17
36548,43,16.9
36548,44,16.95
36548,45,17
36548,46,17.25
36548,47,17.5
36548,48,17.65
36549,1,17.8
36549,2,17.8
36549,3,17.8
36549,4,17.8
36549,5,17.8
36549,6,17.7
36549,7,17.6
36549,8,17.5
36549,9,17.4
36549,10,17.5
36549,11,17.6
36549,12,17.6
36549,13,17.6
36549,14,17.8
36549,15,18
36549,16,18.5
36549,17,19
36549,18,19.2
36549,19,19.4
36549,20,18.8
36549,21,18.2
36549,22,17.3
36549,23,16.4
36549,24,16.15
36549,25,15.9
36549,26,16.15
36549,27,16.4
36549,28,16.05
36549,29,15.7
36549,30,15.7
36549,31,15.7
36549,32,15.85
36549,33,16
36549,34,16.4
36549,35,16.8
36549,36,16.8
36549,37,16.8
36549,38,16.9
36549,39,17
36549,40,17.15
36549,41,17.3
36549,42,17.15
36549,43,17
36549,44,17.25
36549,45,17.5
36549,46,17.3
36549,47,17.1
36549,48,18
36550,1,18.9
36550,2,19.05
36550,3,19.2
36550,4,19.35
36550,5,19.5
36550,6,19.95
36550,7,20.4
36550,8,20.1
36550,9,19.8
36550,10,20.05
36550,11,20.3
36550,12,20.2
36550,13,20.1
36550,14,20.2
36550,15,20.3
36550,16,21.1
36550,17,21.9
36550,18,22.5
36550,19,23.1
36550,20,24.25
36550,21,25.4
36550,22,26.1
36550,23,26.8
36550,24,27.3
36550,25,27.8
36550,26,28.05
36550,27,28.3
36550,28,28.2
36550,29,28.1
36550,30,28.6
36550,31,29.1
36550,32,29.45
36550,33,29.8
36550,34,29.45
36550,35,29.1
36550,36,28.25
36550,37,27.4
36550,38,27
36550,39,26.6
36550,40,25.25
36550,41,23.9
36550,42,23.35
36550,43,22.8
36550,44,22.45
36550,45,22.1
36550,46,22.05
36550,47,22
36550,48,21.3
36551,1,20.6
36551,2,20.55
36551,3,20.5
36551,4,20.2
36551,5,19.9
36551,6,19.6
36551,7,19.3
36551,8,19
36551,9,18.7
36551,10,18.65
36551,11,18.6
36551,12,18.3
36551,13,18
36551,14,18.2
36551,15,18.4
36551,16,19.05
36551,17,19.7
36551,18,19.95
36551,19,20.2
36551,20,20.1
36551,21,20
36551,22,20.6
36551,23,21.2
36551,24,21.2
36551,25,21.2
36551,26,20.9
36551,27,20.6
36551,28,20.65
36551,29,20.7
36551,30,20.2
36551,31,19.7
36551,32,19.7
36551,33,19.7
36551,34,18.95
36551,35,18.2
36551,36,17.9
36551,37,17.6
36551,38,17.45
36551,39,17.3
36551,40,17.15
36551,41,17
36551,42,16.8
36551,43,16.6
36551,44,16.5
36551,45,16.4
36551,46,16.25
36551,47,16.1
36551,48,16
36552,1,15.9
36552,2,15.8
36552,3,15.7
36552,4,15.5
36552,5,15.3
36552,6,15.35
36552,7,15.4
36552,8,15.4
36552,9,15.4
36552,10,15.25
36552,11,15.1
36552,12,15.2
36552,13,15.3
36552,14,16.1
36552,15,16.9
36552,16,16.65
36552,17,16.4
36552,18,16.7
36552,19,17
36552,20,17.55
36552,21,18.1
36552,22,18.65
36552,23,19.2
36552,24,18.95
36552,25,18.7
36552,26,19.05
36552,27,19.4
36552,28,19.9
36552,29,20.4
36552,30,20.65
36552,31,20.9
36552,32,20.35
36552,33,19.8
36552,34,19.65
36552,35,19.5
36552,36,18.9
36552,37,18.3
36552,38,17.4
36552,39,16.5
36552,40,16.1
36552,41,15.7
36552,42,15.55
36552,43,15.4
36552,44,15.2
36552,45,15
36552,46,14.95
36552,47,14.9
36552,48,14.85
36553,1,14.8
36553,2,14.7
36553,3,14.6
36553,4,14.85
36553,5,15.1
36553,6,15.2
36553,7,15.3
36553,8,15.3
36553,9,15.3
36553,10,15.25
36553,11,15.2
36553,12,15.25
36553,13,15.3
36553,14,15.45
36553,15,15.6
36553,16,15.75
36553,17,15.9
36553,18,16.3
36553,19,16.7
36553,20,17.25
36553,21,17.8
36553,22,18.55
36553,23,19.3
36553,24,19.6
36553,25,19.9
36553,26,20.2
36553,27,20.5
36553,28,21.35
36553,29,22.2
36553,30,22.65
36553,31,23.1
36553,32,22.6
36553,33,22.1
36553,34,22.3
36553,35,22.5
36553,36,21.6
36553,37,20.7
36553,38,19.95
36553,39,19.2
36553,40,18.25
36553,41,17.3
36553,42,16.85
36553,43,16.4
36553,44,16.15
36553,45,15.9
36553,46,15.8
36553,47,15.7
36553,48,15.45
36554,1,15.2
36554,2,15
36554,3,14.8
36554,4,14.65
36554,5,14.5
36554,6,14.3
36554,7,14.1
36554,8,13.85
36554,9,13.6
36554,10,13.3
36554,11,13
36554,12,12.95
36554,13,12.9
36554,14,14.3
36554,15,15.7
36554,16,17
36554,17,18.3
36554,18,18.7
36554,19,19.1
36554,20,19.55
36554,21,20
36554,22,21.1
36554,23,22.2
36554,24,22.95
36554,25,23.7
36554,26,24.35
36554,27,25
36554,28,25.05
36554,29,25.1
36554,30,25.1
36554,31,25.1
36554,32,25.05
36554,33,25
36554,34,24.15
36554,35,23.3
36554,36,22.3
36554,37,21.3
36554,38,20.2
36554,39,19.1
36554,40,18
36554,41,16.9
36554,42,16.25
36554,43,15.6
36554,44,15.35
36554,45,15.1
36554,46,15.1
36554,47,15.1
36554,48,15.15
36555,1,15.2
36555,2,15.05
36555,3,14.9
36555,4,14.55
36555,5,14.2
36555,6,14.05
36555,7,13.9
36555,8,13.8
36555,9,13.7
36555,10,13.5
36555,11,13.3
36555,12,13.25
36555,13,13.2
36555,14,14.4
36555,15,15.6
36555,16,16.8
36555,17,18
36555,18,18.85
36555,19,19.7
36555,20,21.05
36555,21,22.4
36555,22,23.7
36555,23,25
36555,24,25.5
36555,25,26
36555,26,26.6
36555,27,27.2
36555,28,27.25
36555,29,27.3
36555,30,27.85
36555,31,28.4
36555,32,28.7
36555,33,29
36555,34,29.3
36555,35,29.6
36555,36,29.05
36555,37,28.5
36555,38,27.5
36555,39,26.5
36555,40,25.5
36555,41,24.5
36555,42,23.85
36555,43,23.2
36555,44,22.45
36555,45,21.7
36555,46,21.45
36555,47,21.2
36555,48,20.5
36556,1,19.8
36556,2,19.65
36556,3,19.5
36556,4,19
36556,5,18.5
36556,6,18
36556,7,17.5
36556,8,17.15
36556,9,16.8
36556,10,16.4
36556,11,16
36556,12,16
36556,13,16
36556,14,17.55
36556,15,19.1
36556,16,20.6
36556,17,22.1
36556,18,23.9
36556,19,25.7
36556,20,27.15
36556,21,28.6
36556,22,29.05
36556,23,29.5
36556,24,30.35
36556,25,31.2
36556,26,31.8
36556,27,32.4
36556,28,32.4
36556,29,32.4
36556,30,32.55
36556,31,32.7
36556,32,32.5
36556,33,32.3
36556,34,32.3
36556,35,32.3
36556,36,31.55
36556,37,30.8
36556,38,29.95
36556,39,29.1
36556,40,27.9
36556,41,26.7
36556,42,26
36556,43,25.3
36556,44,24.6
36556,45,23.9
36556,46,23.4
36556,47,22.9
36556,48,22.1
36557,1,21.3
36557,2,23.1
36557,3,24.9
36557,4,24.65
36557,5,24.4
36557,6,22.65
36557,7,20.9
36557,8,20.6
36557,9,20.3
36557,10,20.1
36557,11,19.9
36557,12,19.55
36557,13,19.2
36557,14,20.45
36557,15,21.7
36557,16,24.85
36557,17,28
36557,18,29.4
36557,19,30.8
36557,20,31.3
36557,21,31.8
36557,22,32.9
36557,23,34
36557,24,34.5
36557,25,35
36557,26,35.55
36557,27,36.1
36557,28,36.2
36557,29,36.3
36557,30,36.4
36557,31,36.5
36557,32,36.4
36557,33,36.3
36557,34,35.9
36557,35,35.5
36557,36,34.95
36557,37,34.4
36557,38,33.4
36557,39,32.4
36557,40,31.1
36557,41,29.8
36557,42,29.15
36557,43,28.5
36557,44,28.1
36557,45,27.7
36557,46,27.75
36557,47,27.8
36557,48,27.8
36558,1,27.8
36558,2,27.6
36558,3,27.4
36558,4,28.1
36558,5,28.8
36558,6,28.6
36558,7,28.4
36558,8,27.65
36558,9,26.9
36558,10,27
36558,11,27.1
36558,12,27.3
36558,13,27.5
36558,14,28.8
36558,15,30.1
36558,16,31.6
36558,17,33.1
36558,18,33.95
36558,19,34.8
36558,20,35.95
36558,21,37.1
36558,22,37.9
36558,23,38.7
36558,24,39.05
36558,25,39.4
36558,26,39.9
36558,27,40.4
36558,28,40.05
36558,29,39.7
36558,30,40
36558,31,40.3
36558,32,40.15
36558,33,40
36558,34,39.95
36558,35,39.9
36558,36,39.15
36558,37,38.4
36558,38,37.6
36558,39,36.8
36558,40,34.85
36558,41,32.9
36558,42,32.4
36558,43,31.9
36558,44,31.1
36558,45,30.3
36558,46,28.85
36558,47,27.4
